WISE Name,Catalog,GLong,GLat,RA,Dec,Radius,HII Region,Membership,VLSR,VLSR (Mol.),Molecule,KDAR,Dist.,Err Dist.,Dist. Method,RGal,z
G300.322+01.644,C,300.322,1.645,187.452,-61.117,31,,,,,,,,,,,
G300.344-00.219,Q,300.344,-0.219,187.156,-62.976,73,,,,-38.5,13CO,T,04.3,00.1,TP/Kin (Mol),07.3,-016
G300.369-00.288,C,300.369,-0.287,187.198,-63.046,163,,,,,,,,,,,
G300.402+00.545,C,300.402,0.545,187.425,-62.220,99,,,,-35.2,CS,T,04.3,00.1,TP/Kin (Mol),07.3,0040
G300.420-00.302,C,300.420,-0.301,187.307,-63.065,225,,,,,,,,,,,
G300.424-00.153,C,300.424,-0.153,187.344,-62.917,166,,,,,,,,,,,
G300.427-00.180,Q,300.427,-0.180,187.346,-62.944,64,,,,,,,,,,,
G300.455-00.190,Q,300.455,-0.190,187.405,-62.956,63,,,,,,,,,,,
G300.470-00.103,Q,300.470,-0.103,187.454,-62.871,79,,,,,,,,,,,
G300.502-00.180,K,300.502,-0.180,187.510,-62.950,132,G300.479-00.192,,26.0,28.4;8.9,CS,F,11.2,01.1,OG/Kin,10.1,-035
G300.519-00.409,C,300.519,-0.408,187.506,-63.180,152,,,,,,,,,,,
G300.566+00.169,C,300.566,0.169,187.712,-62.608,975,,,,,,,,,,,
G300.676+01.083,C,300.676,1.084,188.097,-61.705,550,,,,,,,,,,,
G300.748+00.103,Q,300.748,0.103,188.095,-62.688,118,,,,,,,,,,,
G300.804-00.302,Q,300.804,-0.301,188.153,-63.095,143,,,,,,,,,,,
G300.852-00.172,C,300.852,-0.172,188.279,-62.970,1171,,,,,,,,,,,
G300.913+00.885,Q,300.913,0.885,188.568,-61.919,61,,,,,,,,,,,
G300.948+00.911,C,300.948,0.912,188.646,-61.895,82,,,,-41.7,90GHz,T,04.4,00.1,TP/Kin (Mol),07.3,0069
G300.964+00.895,Q,300.964,0.895,188.677,-61.913,49,,,,-41.7,90GHz,T,04.4,00.1,TP/Kin (Mol),07.3,0068
G300.965+01.162,K,300.965,1.163,188.716,-61.646,111,G300.956+01.161,,-47.0,-43.0,CS,T,04.4,00.1,TP/Kin,07.3,0088
G300.972+00.994,C,300.972,0.994,188.708,-61.814,142,,,,,,,,,,,
G300.983+01.117,C,300.983,1.117,188.748,-61.692,88,,,,,,,,,,,
G301.116+00.968,K,301.116,0.968,189.009,-61.849,180,G301.109+00.969,,-42.0,-40.8,CS,T,04.4,00.1,TP/Kin,07.3,0074
G301.118-00.194,C,301.118,-0.194,188.860,-63.009,237,,,,,,,,,,,
